path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
ilal-v2-zk-policy-grant,100000,1,1000,100,3000,0.1,138493,61520000,1001,0.25,25,0,25.0415479,18.456,43.4975479
benchmark-only-onchain-allowlist,100000,1,1000,100,3000,0.1,23054000,0,1000,0.25,25,0,31.9162,0,31.9162
ilal-v1-cnf-eas,100000,1,1000,100,3000,1,118123000,242101000,2000,0.25,25,0,379.369,726.303,1105.672
ilal-v2-zk-policy-grant,100000,1,1000,100,3000,1,138493,61520000,1001,0.25,25,0,25.415479,184.56,209.975479
benchmark-only-onchain-allowlist,100000,1,1000,100,3000,1,23054000,0,1000,0.25,25,0,94.162,0,94.162
ilal-v1-cnf-eas,100000,1,1000,100,4000,0.01,118123000,242101000,2000,0.25,25,0,29.72492,9.684040000000001,39.40896
ilal-v2-zk-policy-grant,100000,1,1000,100,4000,0.01,138493,61520000,1001,0.25,25,0,25.00553972,2.4608,27.46633972
benchmark-only-onchain-allowlist,100000,1,1000,100,4000,0.01,23054000,0,1000,0.25,25,0,25.92216,0,25.92216
ilal-v1-cnf-eas,100000,1,1000,100,4000,0.1,118123000,242101000,2000,0.25,25,0,72.2492,96.8404,169.08960000000002
ilal-v2-zk-policy-grant,100000,1,1000,100,4000,0.1,138493,61520000,1001,0.25,25,0,25.0553972,24.608,49.663397200000006
benchmark-only-onchain-allowlist,100000,1,1000,100,4000,0.1,23054000,0,1000,0.25,25,0,34.2216,0,34.2216
ilal-v1-cnf-eas,100000,1,1000,100,4000,1,118123000,242101000,2000,0.25,25,0,497.492,968.404,1465.896
ilal-v2-zk-policy-grant,100000,1,1000,100,4000,1,138493,61520000,1001,0.25,25,0,25.553972,246.08,271.633972
benchmark-only-onchain-allowlist,100000,1,1000,100,4000,1,23054000,0,1000,0.25,25,0,117.21600000000001,0,117.21600000000001
ilal-v1-cnf-eas,100000,1,1000,200,2000,0.01,118123000,242101000,2000,0.25,50,0,52.36246,4.842020000000001,57.20448
ilal-v2-zk-policy-grant,100000,1,1000,200,2000,0.01,138493,61520000,1001,0.25,50,0,50.00276986,1.2304,51.233169860000004
benchmark-only-onchain-allowlist,100000,1,1000,200,2000,0.01,23054000,0,1000,0.25,50,0,50.46108,0,50.46108
ilal-v1-cnf-eas,100000,1,1000,200,2000,0.1,118123000,242101000,2000,0.25,50,0,73.6246,48.4202,122.04480000000001
ilal-v2-zk-policy-grant,100000,1,1000,200,2000,0.1,138493,61520000,1001,0.25,50,0,50.0276986,12.304,62.3316986
benchmark-only-onchain-allowlist,100000,1,1000,200,2000,0.1,23054000,0,1000,0.25,50,0,54.6108,0,54.6108
ilal-v1-cnf-eas,100000,1,1000,200,2000,1,118123000,242101000,2000,0.25,50,0,286.246,484.202,770.448
ilal-v2-zk-policy-grant,100000,1,1000,200,2000,1,138493,61520000,1001,0.25,50,0,50.276986,123.04,173.316986
benchmark-only-onchain-allowlist,100000,1,1000,200,2000,1,23054000,0,1000,0.25,50,0,96.108,0,96.108
ilal-v1-cnf-eas,100000,1,1000,200,3000,0.01,118123000,242101000,2000,0.25,50,0,53.54369,7.263030000000001,60.80672
ilal-v2-zk-policy-grant,100000,1,1000,200,3000,0.01,138493,61520000,1001,0.25,50,0,50.00415479,1.8456,51.84975479
benchmark-only-onchain-allowlist,100000,1,1000,200,3000,0.01,23054000,0,1000,0.25,50,0,50.69162,0,50.69162
ilal-v1-cnf-eas,100000,1,1000,200,3000,0.1,118123000,242101000,2000,0.25,50,0,85.43690000000001,72.6303,158.0672
ilal-v2-zk-policy-grant,100000,1,1000,200,3000,0.1,138493,61520000,1001,0.25,50,0,50.0415479,18.456,68.4975479
benchmark-only-onchain-allowlist,100000,1,1000,200,3000,0.1,23054000,0,1000,0.25,50,0,56.9162,0,56.9162
ilal-v1-cnf-eas,100000,1,1000,200,3000,1,118123000,242101000,2000,0.25,50,0,404.369,726.303,1130.672
ilal-v2-zk-policy-grant,100000,1,1000,200,3000,1,138493,61520000,1001,0.25,50,0,50.415479,184.56,234.975479
benchmark-only-onchain-allowlist,100000,1,1000,200,3000,1,23054000,0,1000,0.25,50,0,119.162,0,119.162
ilal-v1-cnf-eas,100000,1,1000,200,4000,0.01,118123000,242101000,2000,0.25,50,0,54.72492,9.684040000000001,64.40896
