path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
benchmark-only-onchain-allowlist,100000,10,10000,100,3000,0.01,230540000,0,10000,0.25,25,0,31.9162,0,31.9162
ilal-v1-cnf-eas,100000,10,10000,100,3000,0.1,1181230000,2421010000,20000,0.25,25,0,379.369,726.303,1105.672
ilal-v2-zk-policy-grant,100000,10,10000,100,3000,0.1,138493,615200000,10001,0.25,25,0,25.0415479,184.56,209.6015479
benchmark-only-onchain-allowlist,100000,10,10000,100,3000,0.1,230540000,0,10000,0.25,25,0,94.162,0,94.162
ilal-v1-cnf-eas,100000,10,10000,100,3000,1,1181230000,2421010000,20000,0.25,25,0,3568.69,7263.030000000001,10831.720000000001
ilal-v2-zk-policy-grant,100000,10,10000,100,3000,1,138493,615200000,10001,0.25,25,0,25.415479,1845.6000000000001,1871.0154790000001
benchmark-only-onchain-allowlist,100000,10,10000,100,3000,1,230540000,0,10000,0.25,25,0,716.6200000000001,0,716.6200000000001
ilal-v1-cnf-eas,100000,10,10000,100,4000,0.01,1181230000,2421010000,20000,0.25,25,0,72.2492,96.8404,169.08960000000002
ilal-v2-zk-policy-grant,100000,10,10000,100,4000,0.01,138493,615200000,10001,0.25,25,0,25.00553972,24.608,49.613539720000006
benchmark-only-onchain-allowlist,100000,10,10000,100,4000,0.01,230540000,0,10000,0.25,25,0,34.2216,0,34.2216
ilal-v1-cnf-eas,100000,10,10000,100,4000,0.1,1181230000,2421010000,20000,0.25,25,0,497.492,968.404,1465.896
ilal-v2-zk-policy-grant,100000,10,10000,100,4000,0.1,138493,615200000,10001,0.25,25,0,25.0553972,246.08,271.1353972
benchmark-only-onchain-allowlist,100000,10,10000,100,4000,0.1,230540000,0,10000,0.25,25,0,117.21600000000001,0,117.21600000000001
ilal-v1-cnf-eas,100000,10,10000,100,4000,1,1181230000,2421010000,20000,0.25,25,0,4749.92,9684.04,14433.960000000001
ilal-v2-zk-policy-grant,100000,10,10000,100,4000,1,138493,615200000,10001,0.25,25,0,25.553972,2460.8,2486.3539720000003
benchmark-only-onchain-allowlist,100000,10,10000,100,4000,1,230540000,0,10000,0.25,25,0,947.1600000000001,0,947.1600000000001
ilal-v1-cnf-eas,100000,10,10000,200,2000,0.01,1181230000,2421010000,20000,0.25,50,0,73.6246,48.4202,122.04480000000001
ilal-v2-zk-policy-grant,100000,10,10000,200,2000,0.01,138493,615200000,10001,0.25,50,0,50.00276986,12.304,62.30676986
benchmark-only-onchain-allowlist,100000,10,10000,200,2000,0.01,230540000,0,10000,0.25,50,0,54.6108,0,54.6108
ilal-v1-cnf-eas,100000,10,10000,200,2000,0.1,1181230000,2421010000,20000,0.25,50,0,286.246,484.202,770.448
ilal-v2-zk-policy-grant,100000,10,10000,200,2000,0.1,138493,615200000,10001,0.25,50,0,50.0276986,123.04,173.0676986
benchmark-only-onchain-allowlist,100000,10,10000,200,2000,0.1,230540000,0,10000,0.25,50,0,96.108,0,96.108
ilal-v1-cnf-eas,100000,10,10000,200,2000,1,1181230000,2421010000,20000,0.25,50,0,2412.46,4842.02,7254.4800000000005
ilal-v2-zk-policy-grant,100000,10,10000,200,2000,1,138493,615200000,10001,0.25,50,0,50.276986,1230.4,1280.6769860000002
benchmark-only-onchain-allowlist,100000,10,10000,200,2000,1,230540000,0,10000,0.25,50,0,511.08000000000004,0,511.08000000000004
ilal-v1-cnf-eas,100000,10,10000,200,3000,0.01,1181230000,2421010000,20000,0.25,50,0,85.43690000000001,72.6303,158.0672
ilal-v2-zk-policy-grant,100000,10,10000,200,3000,0.01,138493,615200000,10001,0.25,50,0,50.00415479,18.456,68.46015479
benchmark-only-onchain-allowlist,100000,10,10000,200,3000,0.01,230540000,0,10000,0.25,50,0,56.9162,0,56.9162
ilal-v1-cnf-eas,100000,10,10000,200,3000,0.1,1181230000,2421010000,20000,0.25,50,0,404.369,726.303,1130.672
ilal-v2-zk-policy-grant,100000,10,10000,200,3000,0.1,138493,615200000,10001,0.25,50,0,50.0415479,184.56,234.6015479
benchmark-only-onchain-allowlist,100000,10,10000,200,3000,0.1,230540000,0,10000,0.25,50,0,119.162,0,119.162
ilal-v1-cnf-eas,100000,10,10000,200,3000,1,1181230000,2421010000,20000,0.25,50,0,3593.69,7263.030000000001,10856.720000000001
ilal-v2-zk-policy-grant,100000,10,10000,200,3000,1,138493,615200000,10001,0.25,50,0,50.415479,1845.6000000000001,1896.0154790000001
benchmark-only-onchain-allowlist,100000,10,10000,200,3000,1,230540000,0,10000,0.25,50,0,741.6200000000001,0,741.6200000000001
ilal-v1-cnf-eas,100000,10,10000,200,4000,0.01,1181230000,2421010000,20000,0.25,50,0,97.2492,96.8404,194.08960000000002
ilal-v2-zk-policy-grant,100000,10,10000,200,4000,0.01,138493,615200000,10001,0.25,50,0,50.00553972,24.608,74.61353972
benchmark-only-onchain-allowlist,100000,10,10000,200,4000,0.01,230540000,0,10000,0.25,50,0,59.2216,0,59.2216
ilal-v1-cnf-eas,100000,10,10000,200,4000,0.1,1181230000,2421010000,20000,0.25,50,0,522.492,968.404,1490.896
ilal-v2-zk-policy-grant,100000,10,10000,200,4000,0.1,138493,615200000,10001,0.25,50,0,50.0553972,246.08,296.1353972
benchmark-only-onchain-allowlist,100000,10,10000,200,4000,0.1,230540000,0,10000,0.25,50,0,142.216,0,142.216
ilal-v1-cnf-eas,100000,10,10000,200,4000,1,1181230000,2421010000,20000,0.25,50,0,4774.92,9684.04,14458.960000000001
ilal-v2-zk-policy-grant,100000,10,10000,200,4000,1,138493,615200000,10001,0.25,50,0,50.553972,2460.8,2511.3539720000003
benchmark-only-onchain-allowlist,100000,10,10000,200,4000,1,230540000,0,10000,0.25,50,0,972.1600000000001,0,972.1600000000001
