scenarioId,notionalUsd,matchingRatioPercent,poolFeeBps,liquidityMode,executionStatus,measured,rejectionReason,economics,baselines,invariants
econ-candidate-fixed-10000-100-5bps,10000,100,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":10.009786,""gasPremium"":408253,""l2CostUsdAt1GweiEth3000"":1.2247590000000002,""solverReserveUsd"":1,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":7.7850269999999995,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":20000000000,""totalGas"":651229,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":19989990214,""totalGas"":242976,""lpFeeRaw"":10000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":19989990214,""totalGas"":221976,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":20000000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-10000-25-100bps,10000,25,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-25-1bps,10000,25,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-25-30bps,10000,25,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-25-5bps,10000,25,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":1.852767,""gasPremium"":450267,""l2CostUsdAt1GweiEth3000"":1.3508010000000001,""solverReserveUsd"":0.625,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-0.12303400000000009,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":12440474344,""totalGas"":692226,""endingTick"":-150,""lpFeeRaw"":3750000},""directV4Independent"":{""fullFill"":true,""outputRaw"":12438621577,""totalGas"":241959,""lpFeeRaw"":6250000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":12438621577,""totalGas"":220959,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":12440474344,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-10000-50-100bps,10000,50,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-50-1bps,10000,50,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-50-30bps,10000,50,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-50-5bps,10000,50,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":4.263482,""gasPremium"":449509,""l2CostUsdAt1GweiEth3000"":1.348527,""solverReserveUsd"":0.75,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":2.164955,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":14972649185,""totalGas"":692238,""endingTick"":-100,""lpFeeRaw"":2500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":14968385703,""totalGas"":242729,""lpFeeRaw"":7500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":14968385703,""totalGas"":221729,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":14972649185,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-10000-70-100bps,10000,70,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-70-1bps,10000,70,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-70-30bps,10000,70,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
