scenarioId,notionalUsd,matchingRatioPercent,poolFeeBps,liquidityMode,executionStatus,measured,rejectionReason,economics,baselines,invariants
econ-scaled-100-25-1bps,100,25,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-25-30bps,100,25,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-25-5bps,100,25,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.025001,""gasPremium"":449824,""l2CostUsdAt1GweiEth3000"":1.349472,""solverReserveUsd"":0.00625,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.330721,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":124956881,""totalGas"":692692,""endingTick"":-2,""lpFeeRaw"":37500},""directV4Independent"":{""fullFill"":true,""outputRaw"":124931880,""totalGas"":242868,""lpFeeRaw"":62500},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":124931880,""totalGas"":221868,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":124956881,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100-50-100bps,100,50,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-50-1bps,100,50,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-50-30bps,100,50,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-50-5bps,100,50,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.05,""gasPremium"":449328,""l2CostUsdAt1GweiEth3000"":1.347984,""solverReserveUsd"":0.0075,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.305484,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":149972502,""totalGas"":692197,""endingTick"":-1,""lpFeeRaw"":25000},""directV4Independent"":{""fullFill"":true,""outputRaw"":149922502,""totalGas"":242869,""lpFeeRaw"":75000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":149922502,""totalGas"":221869,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":149972502,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100-70-100bps,100,70,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-70-1bps,100,70,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-70-30bps,100,70,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-70-5bps,100,70,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.07,""gasPremium"":449316,""l2CostUsdAt1GweiEth3000"":1.347948,""solverReserveUsd"":0.0085,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.2864479999999998,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":169984100,""totalGas"":692184,""endingTick"":-1,""lpFeeRaw"":15000},""directV4Independent"":{""fullFill"":true,""outputRaw"":169914100,""totalGas"":242868,""lpFeeRaw"":85000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":169914100,""totalGas"":221868,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":169984100,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100-90-100bps,100,90,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-90-1bps,100,90,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-90-30bps,100,90,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-90-5bps,100,90,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.090001,""gasPremium"":449812,""l2CostUsdAt1GweiEth3000"":1.349436,""solverReserveUsd"":0.0095,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.2689350000000001,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":189994900,""totalGas"":692680,""endingTick"":-1,""lpFeeRaw"":5000},""directV4Independent"":{""fullFill"":true,""outputRaw"":189904899,""totalGas"":242868,""lpFeeRaw"":95000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":189904899,""totalGas"":221868,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":189994900,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-1000-100-100bps,1000,100,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-100-1bps,1000,100,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-100-30bps,1000,100,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-100-5bps,1000,100,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":1.000001,""gasPremium"":400722,""l2CostUsdAt1GweiEth3000"":1.202166,""solverReserveUsd"":0.1,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-0.30216500000000013,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":2000000000,""totalGas"":643589,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":1998999999,""totalGas"":242867,""lpFeeRaw"":1000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":1998999999,""totalGas"":221867,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":2000000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-1000-25-100bps,1000,25,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-25-1bps,1000,25,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-25-30bps,1000,25,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-25-5bps,1000,25,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.249994,""gasPremium"":441228,""l2CostUsdAt1GweiEth3000"":1.323684,""solverReserveUsd"":0.0625,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.13619,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":1249568810,""totalGas"":684096,""endingTick"":-2,""lpFeeRaw"":375000},""directV4Independent"":{""fullFill"":true,""outputRaw"":1249318816,""totalGas"":242868,""lpFeeRaw"":625000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":1249318816,""totalGas"":221868,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":1249568810,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-1000-50-100bps,1000,50,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-50-1bps,1000,50,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-50-30bps,1000,50,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-50-5bps,1000,50,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.499994,""gasPremium"":441216,""l2CostUsdAt1GweiEth3000"":1.3236480000000002,""solverReserveUsd"":0.075,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-0.8986540000000001,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":1499725026,""totalGas"":684073,""endingTick"":-1,""lpFeeRaw"":250000},""directV4Independent"":{""fullFill"":true,""outputRaw"":1499225032,""totalGas"":242857,""lpFeeRaw"":750000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":1499225032,""totalGas"":221857,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":1499725026,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-1000-70-100bps,1000,70,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-70-1bps,1000,70,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-70-30bps,1000,70,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-70-5bps,1000,70,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.699996,""gasPremium"":441216,""l2CostUsdAt1GweiEth3000"":1.3236480000000002,""solverReserveUsd"":0.085,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-0.7086520000000002,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":1699841009,""totalGas"":684072,""endingTick"":-1,""lpFeeRaw"":150000},""directV4Independent"":{""fullFill"":true,""outputRaw"":1699141013,""totalGas"":242856,""lpFeeRaw"":850000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":1699141013,""totalGas"":221856,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":1699841009,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-1000-90-100bps,1000,90,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-90-1bps,1000,90,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-90-30bps,1000,90,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-1000-90-5bps,1000,90,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.899999,""gasPremium"":441216,""l2CostUsdAt1GweiEth3000"":1.3236480000000002,""solverReserveUsd"":0.095,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-0.5186490000000001,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":1899949001,""totalGas"":684072,""endingTick"":-1,""lpFeeRaw"":50000},""directV4Independent"":{""fullFill"":true,""outputRaw"":1899049002,""totalGas"":242856,""lpFeeRaw"":950000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":1899049002,""totalGas"":221856,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":1899949001,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-10000-100-100bps,10000,100,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-100-1bps,10000,100,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-100-30bps,10000,100,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-100-5bps,10000,100,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":10.000001,""gasPremium"":400262,""l2CostUsdAt1GweiEth3000"":1.2007860000000001,""solverReserveUsd"":1,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":7.7992149999999985,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":20000000000,""totalGas"":643129,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":19989999999,""totalGas"":242867,""lpFeeRaw"":10000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":19989999999,""totalGas"":221867,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":20000000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-10000-25-100bps,10000,25,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-25-1bps,10000,25,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-25-30bps,10000,25,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-25-5bps,10000,25,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":2.499935,""gasPremium"":441216,""l2CostUsdAt1GweiEth3000"":1.3236480000000002,""solverReserveUsd"":0.625,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":0.5512869999999996,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":12495688104,""totalGas"":684072,""endingTick"":-2,""lpFeeRaw"":3750000},""directV4Independent"":{""fullFill"":true,""outputRaw"":12493188169,""totalGas"":242856,""lpFeeRaw"":6250000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":12493188169,""totalGas"":221856,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":12495688104,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-10000-50-100bps,10000,50,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-50-1bps,10000,50,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-50-30bps,10000,50,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-50-5bps,10000,50,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":4.999926,""gasPremium"":441748,""l2CostUsdAt1GweiEth3000"":1.325244,""solverReserveUsd"":0.75,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":2.9246820000000002,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":14997250262,""totalGas"":684605,""endingTick"":-1,""lpFeeRaw"":2500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":14992250336,""totalGas"":242857,""lpFeeRaw"":7500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":14992250336,""totalGas"":221857,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":14997250262,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-10000-70-100bps,10000,70,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-70-1bps,10000,70,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-70-30bps,10000,70,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-70-5bps,10000,70,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":6.999946,""gasPremium"":441736,""l2CostUsdAt1GweiEth3000"":1.3252080000000002,""solverReserveUsd"":0.85,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":4.824738,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":16998410092,""totalGas"":684592,""endingTick"":-1,""lpFeeRaw"":1500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":16991410146,""totalGas"":242856,""lpFeeRaw"":8500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":16991410146,""totalGas"":221856,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":16998410092,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-10000-90-100bps,10000,90,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-90-1bps,10000,90,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-90-30bps,10000,90,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-10000-90-5bps,10000,90,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":8.999981,""gasPremium"":441736,""l2CostUsdAt1GweiEth3000"":1.3252080000000002,""solverReserveUsd"":0.95,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":6.724773,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":18999490010,""totalGas"":684592,""endingTick"":-1,""lpFeeRaw"":500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":18990490029,""totalGas"":242856,""lpFeeRaw"":9500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":18990490029,""totalGas"":221856,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":18999490010,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100000-100-100bps,100000,100,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100000-100-1bps,100000,100,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100000-100-30bps,100000,100,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100000-100-5bps,100000,100,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":100.000002,""gasPremium"":400746,""l2CostUsdAt1GweiEth3000"":1.202238,""solverReserveUsd"":10,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":88.797764,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":200000000000,""totalGas"":643613,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":199899999998,""totalGas"":242867,""lpFeeRaw"":100000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":199899999998,""totalGas"":221867,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":200000000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100000-25-100bps,100000,25,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100000-25-1bps,100000,25,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100000-25-30bps,100000,25,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
